accordingly;so
actualize;produce, achieve
area;activity, business, group, unit, location region
at the present time;now
at this point in time;now
benchmarking;measuring
can not;cannot
commence;beginn, start
completely finish;finish
core message;main point
could potentially;could
decide upon;decide
due to the fact;because
during the course;during
ensure;confirm, validate, verify, require, determine
execute against;complete
execute on;complete
external challenge;outside pressure
for the purpose;for
formal;documented, written, systematic
framework;guide
fully expect;expect
functionality;functions, features
in a satisfactory manner;satisfactory
in an effort to;to
in close proximity;close
in conjunction with;with
in lieu of;instead of
in order that;to
in order to;to
in reference to;about
in regard to;about
in the event that;if, when, in case
in view of the fact that;as, because
indicate;mention, state, prove
large number of;many
level playing field;all equal
leverage;use
material in nature;material
meet with;meet
methodology;method, way
moving forward;name a more specific time
noted;classified, concluded, determined, recorded
notwithstanding;even if, despite, still, yet, bet
on account of the fact;because
partnership working;working together
periodically;daily, monthly, quarterly, annually
problem area;problem
slippage;delay
stipulate;state, set, lay down
study in depth;study
subsequent;after
utilize;use
various;numerous
whole point;point
with reference to;about
with the exception of;except
